feature,importance
recency_days,0.9187638379592966
avg_freight,0.04734558620458058
avg_delivery_days,0.020826290662971328
revenue_per_item,0.0032893092928319976
avg_order_value,0.0028257019802636666
total_revenue,0.002200718190061134
avg_installments,0.0012818801772332637
late_order_pct,0.0008673169098543464
customer_age_days,0.0008573358341570197
avg_days_between_orders,0.0007652414644669346
avg_review_score,0.00037480538897344024
total_items,0.00025730063299439086
unique_sellers,0.00013329924839088295
unique_categories,0.0001186099152022358
total_orders,9.27661387222863e-05
