date,forecast,upper,lower
2018-09-01,1705104.801343874,2076408.214142094,1333801.3885456542
2018-10-01,1775544.1129051389,2146847.5257033585,1404240.700106919
2018-11-01,1845983.424466404,2217286.8372646235,1474680.011668184
