date,forecast,upper,lower
2018-08-30,10811.202857142856,12973.443428571427,8648.962285714286
2018-08-31,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-01,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-02,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-03,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-04,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-05,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-06,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-07,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-08,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-09,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-10,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-11,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-12,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-13,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-14,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-15,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-16,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-17,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-18,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-19,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-20,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-21,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-22,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-23,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-24,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-25,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-26,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-27,10811.202857142856,12973.443428571427,8648.962285714286
2018-09-28,10811.202857142856,12973.443428571427,8648.962285714286
